Survey Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Report Date:,,,31-Jan-20,,,,,,Survey Calc Method:,,,Minimum Curvature                 ,,,
Client:,,,Oil Search Ltd,,,,,,DLS:,,,LUBINSKI,,,
Field:,,,Gobe, South East Gobe,,,,,,Vertical Section Azimuth:,,,199.43,,
Site:,,,Gobe X,,,,,,Vertical Section Origin:,,,0.00  N  m 0.00  E  m ,,,
Well:,,,Gobe Footwall 1,,,,,,TVD Reference Datum:,,,RT                                ,,,
Wellbore:,,,Gobe Footwall 1 ST1,,,,,,TVD Reference Elevation:,,,1286.37 m Above Mean Sea Level ,,,
Name:,,,Gobe Footwall 1 ST1,,,,,,Seabed/Ground Level Elevation:,,,1278.77 m Below Mean Sea Level ,,,
UWI/API number:,,, ,,,,,,Magnetic Declination (+E/W-):,,,4.64,,,
Geodetic system:,,,Universal Transverse Mercator,,,,,,Magnetic Field Strength:,,,41585.07,,,
Geodetic datum:,,,Australian Geodetic 1966,,,,,,Magnetic Dip:,,,-28.87,,,
Geodetic Zone:,,,Zone 54S (138 E to 144 E),,,,,,Declination Date:,,,13-Dec-19,,,
LAT/LONG:,,,6° 45' 32.115 S 143° 41' 45.835 E ,,,,,,Magnetic Model:,,,BGGM2019,,,
Northings/Eastings:,,, 9252073.14 N   798042.13 E ,,,,,,North Reference:,,,Grid,,,
Grid convergence (+E/W-).:,,,-0.32,,,,,,Total Corr. Mag North to Grid North:,,,4.96,,,
,,,,,,,,,Local Co-ords referenced to:,,,Well,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MD,Inc,Azi,TVD,TVDSS,V.Sec,+N/S-,+E/W-,DLS,BUILD,TURN,NORTHING,EASTING,LATITUDE,LONGITUDE,Comments
(m),(deg),(deg),   m    ,   m    ,   m    ,   m    ,   m    ,dega/30m,dega/30m,dega/30m,m,m,DD:MM:SS,DD:MM:SS,
,,,,,,,,,,,,,,,
2427.43,1.92,320.85,2287.4,1001.03,610.56,-575.32,-204.44,0.6,0.58,5.97,9251497.82,797837.69,  6° 45' 50.87 S,143° 41' 39.29 E,    
2456.46,2.78,327.79,2316.41,1030.04,609.87,-574.34,-205.12,0.93,0.89,7.17,9251498.8,797837.01,  6° 45' 50.84 S,143° 41' 39.26 E,    
2485.49,3.73,330.58,2345.39,1059.02,608.81,-572.93,-205.96,1,0.98,2.88,9251500.21,797836.17,  6° 45' 50.79 S,143° 41' 39.24 E,    
2514.52,4.85,334.3,2374.34,1087.97,607.32,-571,-206.96,1.19,1.16,3.84,9251502.14,797835.17,  6° 45' 50.73 S,143° 41' 39.20 E,    
2543.55,5.92,336.33,2403.24,1116.87,605.36,-568.52,-208.09,1.12,1.11,2.1,9251504.62,797834.04,  6° 45' 50.65 S,143° 41' 39.17 E,    
2572.58,7.27,337.71,2432.08,1145.71,602.9,-565.45,-209.39,1.4,1.4,1.43,9251507.69,797832.74,  6° 45' 50.55 S,143° 41' 39.12 E,    
2601.59,8.88,338.63,2460.8,1174.43,599.83,-561.67,-210.9,1.67,1.66,0.95,9251511.47,797831.23,  6° 45' 50.42 S,143° 41' 39.07 E,    
2630.59,10.75,339.57,2489.37,1203,596.06,-557.05,-212.66,1.94,1.93,0.97,9251516.09,797829.47,  6° 45' 50.27 S,143° 41' 39.01 E,    
2659.54,12.88,340.3,2517.71,1231.34,591.49,-551.48,-214.69,2.21,2.21,0.76,9251521.66,797827.44,  6° 45' 50.09 S,143° 41' 38.95 E,    
2688.5,15.17,341.03,2545.8,1259.43,586.01,-544.86,-217.01,2.38,2.37,0.76,9251528.28,797825.12,  6° 45' 49.88 S,143° 41' 38.87 E,    
2717.54,17.69,341.52,2573.65,1287.28,579.55,-537.08,-219.64,2.61,2.6,0.51,9251536.06,797822.49,  6° 45' 49.63 S,143° 41' 38.78 E,    
2734.47,18.95,341.82,2589.73,1303.36,575.35,-532.02,-221.32,2.24,2.23,0.53,9251541.12,797820.81,  6° 45' 49.46 S,143° 41' 38.73 E,    
