X,Y,Z,MD,Incl,Az GN,Az TN,DX,DY,DX TN,DY TN,TVD,TWT,DLS
m,m,m,m,deg,deg,deg,m,m,m,m,m,ms,deg/30m
744449.8105,9287342.961,348.3045044,1020,5.670000004,41.88000158,41.63188959,13.22048855,27.04116631,,,1018.985535,,0.389806994
744450.1437,9287343.328,343.3291626,1025,5.710000153,42.58000034,42.33188836,13.5536747,27.40821648,,,1023.960877,,0.480620203
744450.4831,9287343.693,338.3540039,1030,5.730000228,43.26999971,43.02188773,13.89305878,27.77310944,,,1028.936035,,0.42971379
744450.8273,9287344.055,333.3790283,1035,5.739999625,43.83999949,43.59188751,14.23733139,28.13519859,,,1033.911011,,0.346977046
744451.1747,9287344.415,328.4040527,1040,5.739999625,44.15000129,43.9018893,14.5846777,28.49494934,,,1038.885986,,0.186027635
744451.5228,9287344.774,323.4290772,1045,5.739999625,44.09000149,43.84188951,14.93280983,28.85394287,,,1043.860962,,0.03600506
744451.8708,9287345.133,318.4541016,1050,5.739999625,44.09000149,43.84188951,15.28075409,29.2131176,,,1048.835938,,0
744452.2193,9287345.492,313.4792481,1055,5.749999875,44.16999666,43.92188468,15.62925148,29.57236099,,,1053.810791,,0.076867204
744452.5679,9287345.852,308.5043945,1060,5.749999875,44.02999828,43.78188629,15.97786236,29.93209839,,,1058.785645,,0.08415698
744452.9148,9287346.212,303.529419,1065,5.730000228,43.83000351,43.58189152,16.3248024,30.29224205,,,1063.76062,,0.169713967
744453.2599,9287346.572,298.5543213,1070,5.719999977,43.7199999,43.47188791,16.66986466,30.6523838,,,1068.735718,,0.089078887
744453.604,9287346.933,293.5792236,1075,5.719999977,43.6199991,43.37188711,17.01396751,31.01284409,,,1073.710815,,0.059800721
744453.9477,9287347.296,288.6042481,1080,5.760000126,43.22000273,42.97189075,17.35768127,31.37606621,,,1078.685791,,0.339433427
744454.2917,9287347.664,283.6296387,1085,5.800000275,42.95999792,42.71188593,17.7016716,31.7437973,,,1083.6604,,0.286850696
744454.6357,9287348.035,278.6552734,1090,5.82000035,42.68000114,42.43188916,18.04569817,32.11505508,,,1088.634766,,0.208139004
744454.9799,9287348.41,273.6812744,1095,5.869999896,42.38000216,42.13189018,18.38989258,32.4902916,,,1093.608765,,0.351566758
744455.3251,9287348.79,268.7076416,1100,5.910000045,42.19999935,41.95188737,18.73514366,32.86985397,,,1098.582398,,0.264355073
744455.6706,9287349.173,263.734375,1105,5.939999943,41.84000057,41.59188859,19.08063316,33.2532959,,,1103.555664,,0.286555915
744456.0154,9287349.56,258.7612305,1110,5.949999767,41.63999897,41.39188699,19.42540359,33.6397171,,,1108.528809,,0.138013485
744456.3589,9287349.948,253.788208,1115,5.949999767,41.38000099,41.13188901,19.76890755,34.02784347,,,1113.501831,,0.161709042
744456.7016,9287350.337,248.8151856,1120,5.960000018,41.3100018,41.06188982,20.1115799,34.4172821,,,1118.474854,,0.074154017
744457.0452,9287350.729,243.8424072,1125,6.000000167,41.22999979,40.98188781,20.45517349,34.80879974,,,1123.447632,,0.245155521
744457.389,9287351.122,238.869751,1130,6.000000167,41.0500004,40.80188842,20.79902077,35.20240402,,,1128.420288,,0.112890315
744457.732,9287351.517,233.8970947,1135,6.000000167,40.99000061,40.74188862,21.14204216,35.59672928,,,1133.392944,,0.037630119
744458.0752,9287351.913,228.9246826,1140,6.030000065,40.8499988,40.60188682,21.48522568,35.99263382,,,1138.365356,,0.200369431
744458.4182,9287352.311,223.9523926,1145,6.030000065,40.67999881,40.43188683,21.82818794,36.39045334,,,1143.337647,,0.107150121
744458.7606,9287352.71,218.9801025,1150,6.05000014,40.52000163,40.27188965,22.17056847,36.78991699,,,1148.309937,,0.156855056
744459.1041,9287353.111,214.0080566,1155,6.070000214,40.67999881,40.43188683,22.51408005,37.19069671,,,1153.281982,,0.157069859
744459.4492,9287353.512,209.0361328,1160,6.080000038,40.72999921,40.48188723,22.85917282,37.59183502,,,1158.253906,,0.067881451
744459.7946,9287353.914,204.0643311,1165,6.090000289,40.61999901,40.37188703,23.20462227,37.99381256,,,1163.225708,,0.092168007
744460.1404,9287354.317,199.0926514,1170,6.100000113,40.66000002,40.41188803,23.55039024,38.39665985,,,1168.197388,,0.065186392
744460.4881,9287354.721,194.1212158,1175,6.150000086,40.68999821,40.44188622,23.89810181,38.80126953,,,1173.168823,,0.300613885
744460.8393,9287355.129,189.1502686,1180,6.199999632,40.83000342,40.58189144,24.2492466,39.20864487,,,1178.139771,,0.313309553
744461.1942,9287355.538,184.1796875,1185,6.239999781,41.04000101,40.79188902,24.60419273,39.61789703,,,1183.110352,,0.276109619
744461.5528,9287355.949,179.2094727,1190,6.280000357,41.20999758,40.9618856,24.96277619,40.02858353,,,1188.080566,,0.264520654
744461.9142,9287356.359,174.239502,1195,6.280000357,41.51999938,41.2718874,25.32422066,40.43906784,,,1193.050537,,0.20346141
744462.279,9287356.768,169.2696533,1200,6.309999828,41.90000037,41.65188839,25.68899727,40.84833526,,,1198.020386,,0.308053303
744462.649,9287357.178,164.3001709,1205,6.360000228,42.33000176,42.08188978,26.05898667,41.25758362,,,1202.989868,,0.41357417
744463.0266,9287357.586,159.3311768,1210,6.420000025,43.11999851,42.87188653,26.43655014,41.66635895,,,1207.958862,,0.638659118
744463.4124,9287357.993,154.3626709,1215,6.449999923,43.91999808,43.6718861,26.82242966,42.07269287,,,1212.927368,,0.567273502
744463.8064,9287358.394,149.3944092,1220,6.460000174,45.08999924,44.84188726,27.21643829,42.47356415,,,1217.89563,,0.791472908
744464.2086,9287358.786,144.4260254,1225,6.4400001,46.3700006,46.12188861,27.61860275,42.86562347,,,1222.864014,,0.871029298
744464.6176,9287359.166,139.4572754,1230,6.3899997,47.77999753,47.53188554,28.02762032,43.24607468,,,1227.832764,,0.991663122
744465.0339,9287359.532,134.4880371,1235,6.340000154,49.60999987,49.36188788,28.44394493,43.61193466,,,1232.802002,,1.25362854
744465.4561,9287359.882,129.5181885,1240,6.250000032,51.1199976,50.87188561,28.86608696,43.96166229,,,1237.771851,,1.130640817
744465.8825,9287360.211,124.5472412,1245,6.119999761,53.61000112,53.36188913,29.29251481,44.29062652,,,1242.742798,,1.788464274
744466.3115,9287360.514,119.5749512,1250,5.949999767,55.83000043,55.58188844,29.72148514,44.59430313,,,1247.715088,,1.732316193
744466.7375,9287360.793,114.6009522,1255,5.739999625,57.78999834,57.54188636,30.14745712,44.8731308,,,1252.689087,,1.738180282
744467.1578,9287361.047,109.6251221,1260,5.54000016,59.90000087,59.65188889,30.5678196,45.12744522,,,1257.664917,,1.728398042
744467.5709,9287361.28,104.6477051,1265,5.340000268,61.3999992,61.15188722,30.98089981,45.35985947,,,1262.642334,,1.472315086
744467.9734,9287361.491,99.66845703,1270,5.089999977,63.33999833,63.09188634,31.38339615,45.570755,,,1267.621582,,1.835379178
744468.3646,9287361.681,94.68737793,1275,4.889999658,64.87999425,64.63188226,31.77456856,45.76074219,,,1272.602661,,1.444180587
744468.7455,9287361.853,89.70483398,1280,4.700000017,66.5999998,66.35188782,32.15551758,45.93256378,,,1277.585205,,1.429486485
744469.1167,9287362.006,84.72106934,1285,4.519999773,68.40000054,68.15188855,32.52669907,46.08644485,,,1282.56897,,1.385469939
744469.4781,9287362.145,79.73608398,1290,4.36000003,69.69000471,69.44189272,32.88812256,46.22494125,,,1287.553955,,1.13159175
744469.8311,9287362.271,74.75012207,1295,4.239999583,70.94000446,70.69189247,33.24106598,46.35126877,,,1292.539917,,0.913540677
